kód SOORP;název SO ORP;"Počet obyvatel
(k 31.12.)";Přirozený přírůstek;Saldo migrace;"Podíl obyvatel ve věku
0-14 na celkovém počtu obyvatel (%)";"Počet obyvatel ve věku
0-14 (k 31.12.)";"Podíl obyvatel ve věku 
65 a více let na celkovém počtu obyvatel (%)";"Počet obyvatel ve věku
65 a více let (k 31.12.)";"Počet částí obce
 (k 31.12.)";"Podíl nezaměstnaných osob dosažitelných (%) 
k 31.12.";Uchazeči o zaměstnání v evidenci úřadu práce (k 31. 12.) - dosažitelní;Uchazeči o zaměstnání v evidenci úřadu práce (k 31. 12.) - celkem;Uchazeči o zaměstnání v evidenci úřadu práce - absolventi (k 31. 12.);"Uchazeči o zaměstnání v evidenci úřadu práce - evidence nad 12 měs.
(k 31. 12.)";Počet dokončených bytů;Počt dokončených bytů v rodinných domech;Počet hromadných ubytovacích zařízení celkem (k 31.12.);Počet lázeňských léčeben (k 31.12.);Počet lůžek v lázeňských léčebnách (k 31.12.);Podíl zemědělské půdy z celkové výměry (%);Podíl orné půdy ze zemědělské půdy (%);Podíl trvalých travních porostů ze zemědělské půdy (%);Podíl zastavěných a ostatních ploch z celkové výměry (%);Podíl vodních ploch z celkové výměry (%);Podíl lesních pozemků z celkové výměry (%);Koeficient ekologické stability;Orná půda (ha);Chmelnice (ha);Vinice (ha);Zahrady (ha);Ovocné sady (ha);Trvalé travní porosty (ha);Lesní půda (ha);Vodní plochy (ha);Zastavěné plochy (ha);Ostatní plochy (ha);Zemědělská půda (ha);Celková výměra (ha);Živě narození;Zemřelí;Přistěhovalí;Vystěhovalí;Průměrný věk (k 31. 12.);"Počet obyvatel ve věku
 15- 64 let (k 31.12.)";Kód KRAJ_NUTS;Kód CZ_NUTS (3);KRAJ
4216;Žatec;27373;-38;107;16,13268549;4416;19,05527344;5216;64;4,758146352;844;978;22;315;40;39;11;0;0;70,27916316;85,07659676;5,530906284;14,11649819;1,149162999;14,45517565;0,353040486;18377,4331;1558,4012;-;361,4815;108,9947;1194,7335;4442,9511;353,2074;512,8415;3826,0135;21601,044;30736,0575;268;306;751;644;41,85092975;17741;3069;CZ042;Ústecký kraj
5101;Česká Lípa;76998;7;153;16,41860828;12642;18,22904491;14036;160;2,234924151;1130;1282;54;144;90;73;105;0;0;40,50342703;59,28063812;37,08471373;10,54828284;2,726220164;46,22206996;1,893604519;20936,7564;27,2645;-;998,6192;257,8026;13097,5921;40304,5568;2377,1998;1190,2835;8007,5708;35318,0348;87197,6457;778;771;1695;1542;41,41753033;50320;3077;CZ051;Liberecký kraj
5102;Frýdlant;24479;-52;35;16,25066383;3978;20,19690347;4944;39;4,570919277;718;892;18;226;37;31;33;1;i.d.;44,89443009;38,02163134;57,88359995;6,02116071;1,050608092;48,0338011;3,330737484;5963,3338;-;-;628,4494;13,7764;9078,496;16780,8079;367,0343;378,958;1724,5595;15684,0556;34935,4153;221;273;419;384;42,03302831;15557;3077;CZ051;Liberecký kraj
5103;Jablonec nad Nisou;56206;115;-3;16,55339288;9304;20,49069494;11517;32;2,584168449;918;1001;28;154;94;72;142;0;0;28,95516809;16,7698763;71,97625109;14,05116426;2,184743854;54,80892379;4,289071524;691,0212;-;-;462,3387;1,3895;2965,8606;7799,858;310,9109;419,4787;1580,1425;4120,61;14231,0001;655;540;1172;1175;42,28699783;35385;3077;CZ051;Liberecký kraj
5104;Jilemnice;22137;-19;51;15,44473054;3419;21,53860053;4768;56;3,327881675;468;494;18;68;40;38;210;0;0;49,50483483;34,12854368;62,54220105;6,964093837;0,786325562;42,74474577;3,191224972;4707,014;-;-;425,875;33,2964;8625,83;11908,6589;219,0698;341,0878;1599,1043;13792,0154;27859,9362;224;243;353;302;43,20763879;13950;3077;CZ051;Liberecký kraj
5105;Liberec;145676;201;597;16,83736511;24528;19,84541036;28910;171;2,926321722;2700;3034;77;520;295;197;91;1;i.d.;46,15237029;40,60004944;51,07025389;11,29765153;0,88336894;41,66660924;2,329389485;10838,205;-;-;2142,0129;81,6041;13633,2317;24100,4387;510,9506;1309,3893;5225,3003;26695,0537;57841,1326;1638;1437;2947;2350;41,84483374;92238;3077;CZ051;Liberecký kraj
5106;Nový Bor;26302;-50;55;15,2459889;4010;21,80822751;5736;37;2,812108186;471;595;15;121;50;50;41;0;0;38,56297202;32,68708779;59,45008095;9,525684639;0,987071985;50,92427136;3,518590057;2532,1671;-;-;551,3078;57,8013;4605,413;10229,8781;198,2871;315,0478;1598,5111;7746,6892;20088,4133;240;290;550;495;43,32522242;16556;3077;CZ051;Liberecký kraj
5107;Semily;25675;-43;59;15,81304771;4060;21,80720545;5599;68;3,39433659;549;573;32;94;38;34;20;0;0;60,02584087;50,04426219;45,10392135;9,84523628;0,843813094;29,28510976;1,507225481;6911,3854;-;-;595,976;74,0863;6229,0974;6737,8203;194,1417;350,624;1914,5351;13810,5451;23007,6662;256;299;412;353;43,34451801;16016;3077;CZ051;Liberecký kraj
5108;Tanvald;20412;-51;3;15,00097982;3062;21,87438762;4465;27;3,942131047;515;585;10;167;65;39;189;0;0;19,46598241;15,62789227;75,90234698;7,236002082;1,214785156;72,08323035;8,729401184;579,8455;-;-;307,1188;7,1368;2816,2233;13739,4642;231,5448;255,0526;1124,1696;3710,3244;19060,5556;189;240;471;468;43,54825593;12885;3077;CZ051;Liberecký kraj
5109;Turnov;33623;-36;312;16,02177081;5387;21,21761889;7134;140;2,239657632;471;495;23;72;109;95;55;0;0;61,97903982;54,80826222;31,29816631;10,26691197;1,397057941;26,35699027;1,26057429;8395,1072;-;-;1259,089;869,0212;4794,0119;6513,7515;345,2628;516,3825;2020,9373;15317,2293;24713,5634;349;385;746;434;42,97770871;21102;3077;CZ051;Liberecký kraj
5110;Železný Brod;12182;-20;20;15,97438844;1946;22,96010507;2797;38;2,477567966;185;196;8;24;20;19;9;0;0;45,09352871;25,8627781;62,34968605;12,16677257;1,014035562;41,72566316;3,196529901;863,6665;-;-;372,1408;21,4944;2082,1172;3090,0103;75,0948;131,9338;769,0813;3339,4189;7405,5391;109;129;262;242;43,50738795;7439;3077;CZ051;Liberecký kraj
5201;Broumov;15876;-27;-118;15,07936508;2394;22,43008314;3561;38;5,567642405;563;590;8;94;21;15;48;0;0;57,22887222;61,77881166;35,70032372;6,973730124;0,843052199;34,95434546;1,362443909;9169,9556;-;-;354,4862;19,6909;5299,0722;9065,9573;218,6588;298,0598;1510,6864;14843,2049;25936,5672;161;188;209;327;43,6946964;9921;3085;CZ052;Královéhradecký kraj
5202;Dobruška;20190;-21;-21;16,55770183;3343;21,17880139;4276;60;1,281648058;163;179;4;18;56;52;62;0;0;61,89896399;67,46050841;28,73621731;7,7251259;1,277352031;29,09855808;1,020917233;11655,1432;-;-;628,9051;28,1861;4964,7525;8121,8711;356,5293;527,3814;1628,8243;17276,9869;27911,593;224;245;353;374;42,68940069;12571;3085;CZ052;Královéhradecký kraj
5203;Dvůr Králové nad Labem;26949;-38;14;14,79461204;3987;23,09176593;6223;62;2,989226944;505;539;30;133;77;70;23;0;0;55,64128949;64,21171781;27,5264259;8,695469484;1,321275353;34,34196567;1,251050816;9212,0625;-;-;987,7592;197,5188;3949,048;8854,6327;340,6738;434,5896;1807,425;14346,3885;25783,7096;249;287;443;429;44,06180192;16739;3085;CZ052;Královéhradecký kraj
5204;Hořice;18377;-31;-36;15,61734777;2870;21,98944333;4041;60;2,083869308;243;290;15;40;27;26;15;0;0;68,85458709;77,6378852;14,2986458;8,894495329;1,343193827;20,90772376;0,603804465;10310,8842;-;-;518,214;552,6742;1898,9657;4032,7016;259,0765;418,344;1297,2347;13280,7381;19288,0949;175;206;312;348;43,42207651;11466;3085;CZ052;Královéhradecký kraj
5205;Hradec Králové;146899;51;586;15,82447804;23246;22,11315257;32484;168;2,344994653;2149;2491;118;493;408;228;45;0;0;68,42783943;83,77034672;10,39932171;12,44508483;2,190092998;16,93698274;0,433335772;38832,2672;-;-;2015,6772;687,0094;4820,6705;11473,7571;1483,6524;1904,4559;6526,3185;46355,6243;67743,8082;1546;1495;2726;2140;43,42486675;91169;3085;CZ052;Královéhradecký kraj
5206;Jaroměř;19273;22;-54;16,15731853;3114;19,67519328;3792;45;3,53195579;441;471;9;47;27;20;7;1;i.d.;76,75297712;75,48505174;18,38792099;10,54321614;1,947079108;10,75672763;0,460275242;8029,5311;-;-;464,5931;187,1539;1955,9685;1490,7821;269,847;364,2776;1096,9138;10637,2466;13859,0671;221;199;362;416;42,01735589;12367;3085;CZ052;Královéhradecký kraj
5207;Jičín;48382;-52;377;15,5863751;7541;20,8920673;10108;201;1,621920302;499;554;33;56;210;102;64;1;i.d.;69,28239222;79,21929703;14,74101081;8,453225825;1,801374888;20,46300707;0,578824804;32753,1328;-;-;1390,356;1106,7482;6094,655;12211,4839;1074,9867;1208,1805;3836,3582;41344,892;59675,9013;466;518;1046;669;43,03294614;30733;3085;CZ052;Královéhradecký kraj
5208;Kostelec nad Orlicí;24892;-51;67;15,49092078;3856;21,33617226;5311;50;1,114065072;176;197;7;16;79;74;9;0;0;44,42623441;63,05771197;30,23528407;8,706621831;2,016860032;44,85028373;1,72325305;6261,8189;-;-;568,1653;97,8602;3002,4539;10025,0832;450,8152;434,5133;1511,6195;9930,2983;22352,3295;229;280;493;426;43,09247951;15725;3085;CZ052;Královéhradecký kraj
5209;Náchod;60595;-42;-37;15,48477597;9383;22,26916412;13494;110;2,657650574;1014;1072;36;68;121;110;59;0;0;56,82307911;52,4101892;37,62796743;9,739993693;2,551433784;30,88549342;1,530295419;10593,7815;-;0,2542;1374,072;639,2821;7605,82;10986,6443;907,6007;867,2465;2597,4819;20213,2098;35572,1832;631;673;807;844;43,59126166;37718;3085;CZ052;Královéhradecký kraj
5210;Nová Paka;13286;8;-3;15,21150083;2021;21,72964022;2887;35;1,72801515;146;171;4;34;20;19;7;0;0;57,28763015;48,50325007;43,74679003;10,45538352;0,723850345;31,53313598;1,614943364;2701,4197;-;-;334,2539;97,3851;2436,5056;3065,685;70,3735;203,6781;812,8054;5569,5643;9722,1063;142;134;232;235;43,80355261;8378;3085;CZ052;Královéhradecký kraj
5211;Nové Město nad Metují;14214;0;-26;15,10482623;2147;23,36428873;3321;25;2,167042889;192;202;12;10;78;34;15;0;0;66,36487412;75,25405546;18,58830162;10,18711489;6,404837179;17,04317381;0,663080675;4898,6656;-;-;275,9256;124,9064;1210,0062;1671,7067;628,2286;265,6746;733,5447;6509,5038;9808,6584;122;122;217;243;44,11699733;8746;3085;CZ052;Královéhradecký kraj
5212;Nový Bydžov;17384;-61;36;14,87574781;2586;20,86401289;3627;47;3,045369795;343;361;12;63;76;33;4;0;0;74,72295969;83,45355931;13,01538462;7,743340253;1,567729815;15,96597024;0,426486522;13359,287;-;1,2566;483,1151;80,8815;2083,5092;3420,4218;335,8579;458,5787;1200,2926;16008,0494;21423,2004;150;211;341;305;43,31621031;11171;3085;CZ052;Královéhradecký kraj
5213;Rychnov nad Kněžnou;34301;2;319;15,80711933;5422;19,85364858;6810;73;1,490564318;327;344;9;30;112;81;71;0;0;52,03274112;51,21784545;43,33226851;7,157804063;1,013885644;39,79556917;1,957892653;12776,6386;-;-;1093,7408;265,7702;10809,528;19078,8995;486,0798;706,3401;2725,2737;24945,6776;47942,2707;329;327;851;532;42,2961867;22069;3085;CZ052;Královéhradecký kraj
5214;Trutnov;63419;-73;-63;15,31086898;9710;21,34533815;13537;75;2,706033123;1098;1185;45;153;321;94;365;1;i.d.;41,05230654;47,3193431;47,90916382;8,98407888;0,830474064;49,13314052;2,519917017;11566,5174;-;-;1151,5415;14,7798;11710,6904;29255,0517;494,4842;776,2941;4573,0422;24443,5291;59542,4013;630;703;837;900;43,27033697;40172;3085;CZ052;Královéhradecký kraj
5215;Vrchlabí;27610;-84;-18;15,91090185;4393;21,49583484;5935;27;1,408854018;246;291;9;25;70;54;280;0;0;36,72648654;44,28741159;51,42972244;8,432535573;1,142738594;53,69823929;3,048952511;4773,2218;-;0,0302;439,5368;22,033;5543,0079;15758,3949;335,3504;378,9853;2095,6438;10777,8297;29346,2041;229;313;423;441;43,07417602;17282;3085;CZ052;Královéhradecký kraj
5301;Česká Třebová;17969;-39;-80;15,34309088;2757;21,3757026;3841;10;2,216404887;254;269;6;32;36;17;6;0;0;41,16745741;57,83585969;30,47334895;12,60858242;0,620367383;45,60359278;1,745884684;1897,6912;-;-;373,2055;10,3889;999,8815;3634,7401;49,4451;159,724;845,217;3281,1671;7970,2933;170;209;270;350;43,2692693;11371;3093;CZ053;Pardubický kraj
5302;Hlinsko;21017;-16;9;15,03068944;3159;21,24470667;4465;74;2,221070556;300;321;15;17;68;49;12;0;0;53,92900288;57,0556736;39,04507519;8,164751945;1,793470636;36,11277454;1,568428865;7590,791;-;0,0154;481,7044;37,0437;5194,6281;8908,9529;442,4458;311,8185;1702,4103;13304,1826;24669,8101;233;249;326;317;43,11597754;13393;3093;CZ053;Pardubický kraj
5303;Holice;17910;32;124;16,78950307;3007;19,32439978;3461;32;1,659968548;190;213;11;20;71;57;7;0;0;52,83408275;74,63261326;20,74353339;5,831481013;1,485030104;39,84940614;1,209313075;8424,7091;-;0,04;478,3357;43,576;2341,58;8514,0059;317,2834;333,6296;912,2927;11288,2408;21365,4524;195;163;489;365;41,94433278;11442;3093;CZ053;Pardubický kraj
5304;Chrudim;83596;1;275;15,87396526;13270;20,58830566;17211;262;2,496353641;1335;1422;57;91;312;171;69;0;0;63,02549101;77,72189752;16,64076024;9,016497919;1,42907375;26,52893732;0,72410507;36550,2804;-;-;1954,1541;696,9191;7825,6511;19794,7916;1066,3155;1418,3343;5309,4021;47027,0047;74615,8482;918;917;1472;1197;42,74111201;53115;3093;CZ053;Pardubický kraj
5305;Králíky;8676;-34;61;15,52558783;1347;21,18487782;1838;27;2,607278653;144;153;7;13;59;33;35;0;0;47,65302335;31,37332434;66,5581581;7,144966506;0,653966091;44,54804405;3,525848553;2371,2602;-;-;148,683;7,6598;5030,6021;7065,727;103,725;166,7499;966,5071;7558,2051;15860,9141;79;113;211;150;42,79621946;5491;3093;CZ053;Pardubický kraj
5306;Lanškroun;23140;-12;-56;16,32238548;3777;19,30855661;4468;36;2,283438433;344;359;7;33;50;46;24;0;0;59,07135895;63,4929877;32,21056978;7,500671952;0,852392638;32,57557646;1,221884366;10322,1886;-;-;667,4355;31,0462;5236,5401;8965,2246;234,5896;304,6104;1759,6726;16257,2104;27521,3076;256;268;341;397;41,93945549;14895;3093;CZ053;Pardubický kraj
5307;Litomyšl;27205;40;29;16,20290388;4408;19,58095938;5327;62;1,415577032;249;266;17;20;66;63;21;0;0;68,80372576;81,59714691;13,39889746;7,259955494;0,538836597;23,39748215;0,577241473;18925,8939;-;-;1000,7631;159,8698;3107,7816;7887,4859;181,6463;425,0626;2022,3288;23194,3084;33710,832;317;277;488;459;42,05747105;17470;3093;CZ053;Pardubický kraj
5308;Moravská Třebová;26138;-20;-109;14,90167572;3895;20,9503405;5476;62;4,395862717;748;792;14;133;64;48;19;0;0;54,24664741;74,1291761;21,6500416;6,963606996;0,909672497;37,8800731;1,119712916;16780,0018;-;-;743,9189;211,5043;4900,7389;15806,6827;379,5902;441,5884;2464,2013;22636,1639;41728,2265;263;283;340;449;43,1810391;16767;3093;CZ053;Pardubický kraj
5309;Pardubice;131691;100;1543;15,98514705;21051;19,99757007;26335;114;1,946116743;1626;1791;80;170;557;327;44;1;i.d.;65,98532429;85,61039995;8,72869872;17,12571226;3,617728384;13,27123507;0,358400121;23121,673;-;-;1320,5838;208,3135;2357,4486;5431,9619;1480,7486;1531,8633;5477,7493;27008,0189;40930,342;1468;1368;3715;2172;42,53347989;84305;3093;CZ053;Pardubický kraj
5310;Polička;19611;19;18;15,91453776;3121;20,37122023;3995;34;1,957507758;246;273;13;18;100;46;24;0;0;59,35832968;64,66778565;31,89593304;7,414713387;0,803804472;32,42315246;1,183385577;10466,4824;-;-;548,306;7,8562;5162,3574;8840,6933;219,1702;302,8133;1718,9274;16185,002;27266,6062;203;184;280;262;42,481388;12495;3093;CZ053;Pardubický kraj
5311;Přelouč;25840;3;310;15,28250774;3949;20,01547988;5172;69;2,634269562;438;474;22;65;97;82;8;0;0;54,13631884;77,7030752;15,76881684;10,8374459;2,821500404;32,20473486;0,890250883;10822,5572;-;-;574,4971;334,7439;2196,2956;8285,5757;725,9105;485,1545;2303,0839;13928,0938;25727,8184;269;266;749;439;42,8494582;16719;3093;CZ053;Pardubický kraj
5312;Svitavy;31379;-34;-11;15,84180503;4971;20,81965646;6533;40;2,661559126;535;574;17;63;53;33;15;0;0;59,34345061;75,14409189;20,69711633;8,453694856;1,016618064;31,18623647;0,885128137;15678,9719;-;-;788,922;78,8186;4318,4966;10965,108;357,4438;433,6132;2538,7133;20865,2091;35160,0874;307;341;465;476;42,70657127;19875;3093;CZ053;Pardubický kraj
5313;Ústí nad Orlicí;26573;44;145;15,79799044;4198;21,26594664;5651;34;1,282127736;215;255;11;18;60;54;10;0;0;57,78443662;57,56082245;36,13158978;8,237209484;0,803330564;33,17502333;1,409731085;6336,6525;-;-;681,5175;12,8609;3977,5896;6320,2354;153,044;282,4163;1286,8698;11008,6205;19051,186;317;273;557;412;42,75390434;16724;3093;CZ053;Pardubický kraj
5314;Vysoké Mýto;32454;-23;59;16,09354779;5223;20,52443458;6661;87;1,959266605;405;445;15;46;75;48;15;0;0;70,0706637;77,04786948;18,47971768;8,56098154;1,833545643;19,53480911;0,598748243;15218,9916;-;-;824,4286;58,9912;3650,2329;5506,7858;516,8693;519,4499;1893,8571;19752,6443;28189,6064;338;361;538;479;42,59912492;20570;3093;CZ053;Pardubický kraj
5315;Žamberk;29463;53;-85;16,55296474;4877;19,17998846;5651;49;1,271984925;243;273;8;26;56;54;42;0;0;59,34486267;54,6851746;39,54621633;7,87674556;1,251709511;31,52668225;1,479569136;9135,8813;-;0,0005;934,0825;29,6394;6606,7182;8875,1558;352,3719;384,4002;1833,0023;16706,3219;28151,2521;339;286;418;503;41,80716492;18935;3093;CZ053;Pardubický kraj
6101;Bystřice nad Pernštejnem;19755;-4;-51;14,61908378;2888;21,43761073;4235;91;3,595488015;459;496;16;169;46;40;20;0;0;56,43499443;64,45902326;32,2019742;7,997302396;1,602433777;33,9652694;1,253533895;12657,0572;-;-;579,0992;76,5413;6323,1214;11817,7718;557,5459;471,6615;2310,8954;19635,8191;34793,6937;215;219;223;274;43,49139458;12632;3107;CZ063;Kraj Vysočina
6102;Havlíčkův Brod;52932;-24;304;16,35305675;8656;20,34686012;10770;139;2,049522673;687;751;35;106;150;137;27;0;0;66,134335;77,02655855;20,26059191;7,968211725;1,430030772;24,46742251;0,697527317;32192,2431;-;-;1087,9301;45,8699;8467,6495;15462,2245;903,7101;911,9404;4123,583;41793,6926;63195,1506;590;614;989;685;42,57094007;33506;3107;CZ063;Kraj Vysočina
6103;Humpolec;17852;-6;126;15,49406229;2766;21,13488685;3773;66;2,209847079;250;265;12;23;65;48;28;0;0;57,33938575;75,47467273;21,08331931;8,042904625;2,792446348;31,82526328;0,948572558;9868,3915;-;0,0372;438,8819;11,127;2756,6658;7257,1166;636,7617;332,8758;1501,1482;13075,1034;22803,0057;217;223;364;238;43,26747703;11313;3107;CZ063;Kraj Vysočina
6104;Chotěboř;21872;-31;0;15,17922458;3320;21,96415508;4804;101;2,244049326;313;367;11;96;60;31;18;0;0;61,67570485;70,79249239;25,75494442;6,895502339;1,609617993;29,81917482;0,977954862;14366,8914;-;-;606,14;94,536;5226,8041;9811,9902;529,6443;447,0536;1821,9093;20294,3715;32904,9689;211;242;300;300;43,54695501;13748;3107;CZ063;Kraj Vysočina
6105;Jihlava;101074;-54;505;16,36919485;16545;19,49759582;19707;146;2,528423553;1639;1789;80;309;314;223;41;0;0;58,47395379;73,79564764;23,59878044;8,75250603;1,587725923;31,18581426;0,926643476;39775,62;-;0,0125;1359,1265;45,256;12719,6678;28746,2261;1463,5221;1288,9632;6778,8562;53899,6828;92177,2504;1042;1096;1649;1144;42,26649781;64822;3107;CZ063;Kraj Vysočina
6106;Moravské Budějovice;23098;-2;-22;14,31725691;3307;20,85894883;4818;60;3,192755156;483;536;23;101;52;34;10;0;0;67,72152906;89,83976836;7,804509173;6,642723118;1,237789574;24,39795825;0,481841779;25189,2641;-;-;631,2093;29,2879;2188,2274;10101,2143;512,4682;515,1384;2235,0741;28037,9887;41401,8837;263;265;328;350;43,42146506;14973;3107;CZ063;Kraj Vysočina
6107;Náměšť nad Oslavou;13440;-26;13;15,17113095;2039;21,13839286;2841;32;2,791234141;242;273;14;28;23;23;18;0;0;53,95546815;87,69507314;9,17380647;9,479562699;3,009721629;33,55524752;0,760692024;9997,064;-;-;330,1406;26,8009;1045,7957;7089,6086;635,899;289,9295;1712,9283;11399,8012;21128,1666;140;166;241;228;43,52127976;8560;3107;CZ063;Kraj Vysočina
6108;Nové Město na Moravě;19386;-5;-10;15,91870422;3086;20,72113897;4017;59;3,143482136;388;466;14;131;50;47;63;0;0;55,21983451;64,36191297;32,88740909;7,168141655;1,122442982;36,48958086;1,341444218;10408,1608;-;-;426,8407;17,9798;5318,323;10686,0899;328,711;313,0967;1786,1164;16171,3043;29285,3183;203;208;257;267;42,69447024;12283;3107;CZ063;Kraj Vysočina
6109;Pacov;9364;-49;-17;13,15677061;1232;23,54762922;2205;64;1,339809077;80;85;5;1;20;18;8;0;0;60,89124506;78,70353847;19,00145891;7,249640937;1,135989034;30,72312497;0,812473994;11243,1666;-;-;317,9134;9,9384;2714,4468;7207,8364;266,5101;267,5328;1433,2781;14285,4652;23460,6226;85;134;135;152;45,06930799;5927;3107;CZ063;Kraj Vysočina
6110;Pelhřimov;45086;-73;95;14,44128998;6511;21,39910393;9648;192;1,220350636;355;393;17;13;92;72;48;0;0;61,55825984;75,03407069;22,70762952;6,980878186;1,645634884;29,81522709;0,8807405;38164,4092;-;-;1126,4336;22,2003;11549,7301;24634,9578;1359,7128;944,4629;4823,5173;50862,7732;82625,424;424;497;672;577;43,73208978;28927;3107;CZ063;Kraj Vysočina
6111;Světlá nad Sázavou;19690;-7;-62;14,21025901;2798;21,95022854;4322;89;3,604523323;459;480;19;122;56;47;18;0;0;55,29822781;73,31676758;23,20101082;6,616388146;1,832644856;36,25273919;1,120474266;11763,7247;-;-;545,637;13,0878;3722,6178;10518,9201;531,7514;391,4243;1528,355;16045,0673;29015,5181;234;241;247;309;44,26592179;12570;3107;CZ063;Kraj Vysočina
6112;Telč;12975;3;24;15,22157996;1975;21,0867052;2736;59;4,378683989;364;381;17;59;39;21;31;0;0;58,82343904;77,02402013;20,52993179;7,522376613;2,260668712;31,39351564;0,892844049;13199,9477;-;-;401,1928;17,9973;3518,3054;9146,0921;658,6164;318,5351;1873,0114;17137,4432;29133,6982;153;150;197;173;43,23603083;8264;3107;CZ063;Kraj Vysočina
6113;Třebíč;74272;4;-226;15,17126239;11268;20,39530375;15148;133;3,571428571;1730;1864;85;401;233;138;39;0;0;63,98032442;86,14280841;11,17672931;7,540884459;1,715175997;26,76361512;0,59603334;46155,7702;-;5,6844;1285,8301;144,6913;5988,5504;22413,2747;1436,3796;1172,5172;5142,6205;53580,5264;83745,3184;771;767;702;928;43,08546963;47856;3107;CZ063;Kraj Vysočina
6114;Velké Meziříčí;36390;97;58;17,01291564;6191;18,03792251;6564;96;2,763479875;655;707;33;109;177;114;21;0;0;60,86298805;78,56320375;18,15142132;8,171719982;2,302678338;28,66261363;0,78610872;22637,3299;-;-;883,1365;63,5168;5230,1802;13569,6465;1090,1494;686,4115;3182,2989;28814,1634;47342,6697;488;391;486;428;41,26663919;23635;3107;CZ063;Kraj Vysočina
6115;Žďár nad Sázavou;42627;38;-59;15,69897014;6692;20,41663734;8703;77;2,355734112;645;730;35;90;107;82;44;0;0;49,41340022;73,12232872;24,60291957;6,719017632;2,912035921;40,95554622;1,333654397;16781,6189;-;-;513,8842;8,1727;5646,385;19021,8093;1352,4955;559,3086;2561,3401;22950,0608;46445,0143;461;423;508;567;42,84173177;27232;3107;CZ063;Kraj Vysočina
6201;Blansko;57126;58;103;16,64566047;9509;20,86265448;11918;65;1,705210365;612;688;41;106;197;147;45;0;0;37,74831657;74,36071118;17,79465898;9,014716185;0,76492617;52,47204108;1,696534719;9864,0749;-;-;928,1578;112,4457;2360,4918;18439,2476;268,8034;575,4517;2592,4179;13265,1702;35141,0908;641;583;902;799;42,80504499;35699;3115;CZ064;Jihomoravský kraj
6202;Boskovice;52010;37;137;16,19688521;8424;20,16919823;10490;114;3,415440072;1137;1243;60;328;255;120;38;0;0;52,4568009;70,81885351;22,12217546;9,236531781;0,933313209;37,37335411;1,155830464;18984,1566;-;-;1375,0516;517,2215;5930,2124;19098,6509;476,9447;780,6393;3939,4427;26806,6421;51102,3197;578;541;776;639;42,44122284;33096;3115;CZ064;Jihomoravský kraj
6203;Brno;381346;590;75;15,56040971;59339;20,83593377;79457;48;3,581074979;8724;9885;265;3215;1447;173;130;0;0;33,16625814;65,62017675;4,264924695;37,08576896;1,962911811;27,78506109;0,699249026;5009,6466;-;17,2111;2061,0696;220,7835;325,5975;6395,6483;451,8289;2111,0873;6425,4257;7634,3083;23018,2985;4642;4052;10135;10060;42,90121832;242550;3115;CZ064;Jihomoravský kraj
6204;Břeclav;59715;-77;124;14,79360295;8834;20,45717156;12216;23;3,149545665;1227;1329;76;157;104;101;103;2;124;59,60010749;74,60037649;7,489041939;11,52946072;4,415682505;24,45474928;0,785989669;19512,7264;-;2971,9345;769,9666;942,8511;1958,8591;10732,3075;1937,8838;1062,4184;3997,4461;26156,3377;43886,3935;564;641;836;712;43,32399732;38665;3115;CZ064;Jihomoravský kraj
6205;Bučovice;16111;28;-1;15,55459003;2506;19,71944634;3177;26;2,618299533;275;294;11;65;32;31;4;0;0;67,78061827;93,35998287;2,469822067;9,429234688;0,934665869;21,85548117;0,375341616;10820,1129;-;4,6737;399,4698;79,1683;286,2442;3737,0239;159,8166;291,0624;1321,2231;11589,6689;17098,7949;186;158;302;303;42,6449941;10428;3115;CZ064;Jihomoravský kraj
6206;Hodonín;60685;-33;-91;14,73675538;8943;20,18291176;12248;19;4,9820018;1993;2159;81;476;199;137;36;1;i.d.;60,40994455;80,09961724;4,659400414;12,42435577;3,427976706;23,73772298;0,644399034;13841,0696;-;1544,3403;591,9755;497,2985;805,136;6790,0009;980,5475;797,6371;2756,2584;17279,8199;28604,2638;598;631;697;788;43,40533081;39494;3115;CZ064;Jihomoravský kraj
6207;Hustopeče;36311;64;139;15,92354934;5782;19,22557903;6981;29;3,369169559;796;842;56;142;182;130;53;0;0;74,95694917;76,18732066;4,353202096;11,26235446;3,496586785;10,28410959;0,462628831;20279,3059;-;3012,3564;674,159;1493,1482;1158,7219;3651,953;1241,6603;694,5147;3304,8193;26617,6914;35510,6387;420;356;621;482;42,29144061;23548;3115;CZ064;Jihomoravský kraj
6208;Ivančice;24459;-5;86;15,63023836;3823;19,64512041;4805;24;1,626118744;258;330;13;64;180;86;8;0;0;54,20961208;81,94444988;5,996511754;10,68151312;1,547936381;33,56093842;0,814773952;7664,1777;-;505,684;448,4528;173,7323;560,8474;5790,3367;267,0686;317,7445;1525,1586;9352,8942;17253,2026;234;239;528;442;42,48025267;15831;3115;CZ064;Jihomoravský kraj
6209;Kuřim;23345;58;284;18,34654102;4283;17,89248233;4177;10;2,275979557;334;375;11;100;86;76;9;0;0;50,60238986;86,3211356;3,938533866;13,04423619;0,865293279;35,48808067;0,762897551;3365,6603;-;-;333,5735;46,2019;153,5634;2734,4162;66,6723;245,4168;759,6635;3898,9991;7705,1679;235;177;766;482;40,89918612;14885;3115;CZ064;Jihomoravský kraj
